Name,Symbol,Description
Bitcoin,BTC-USD,"Bitcoin is a decentralized digital currency created in January 2009. It follows the ideas set out in a white paper by the mysterious and pseudonymous Satoshi Nakamoto.The identity of the person or persons who created the technology is still a mystery. Bitcoin offers the promise of lower transaction fees than traditional online payment mechanisms do, and unlike government-issued currencies, it is operated by a decentralized authority.

Bitcoin is known as a type of cryptocurrency because it uses cryptography to keep it secure. There are no physical bitcoins, only balances kept on a public ledger that everyone has transparent access to (although each record is encrypted). All Bitcoin transactions are verified by a massive amount of computing power via a process known as ""mining."" Bitcoin is not issued or backed by any banks or governments, nor is an individual bitcoin valuable as a commodity. Despite it not being legal tender in most parts of the world, Bitcoin is very popular and has triggered the launch of hundreds of other cryptocurrencies, collectively referred to as altcoins. Bitcoin is commonly abbreviated as BTC when traded."
Ethereum,ETH-USD,"Ethereum is a platform powered by blockchain technology that is best known for its native cryptocurrency, called ether, or ETH, or simply ethereum. The distributed nature of blockchain technology is what makes the Ethereum platform secure, and that security enables ETH to accrue value.

The Ethereum platform supports ether in addition to a network of decentralized apps, otherwise known as dApps. Smart contracts, which originated on the Ethereum platform, are a central component of how the platform operates. Many decentralized finance (DeFi) and other applications use smart contracts in conjunction with blockchain technology.
As a cryptocurrency, Ethereum is second in market value only to Bitcoin as of January 2022."
Tether,USDT-USD,"Tether (USDT) is a blockchain-based cryptocurrency whose tokens in circulation are backed by an equivalent amount of U.S. dollars, making it a stablecoin with a price pegged to USD $1.00. Stablecoins track traditional fiat currencies, like the dollar, the euro, or the Japanese yen, which are held in a designated bank account.

Tether tokens, which were developed by the crypto exchange BitFinex, are the native tokens of the Tether network and trade under the USDT symbol. As of October 2021, USDT is the fifth-largest cryptocurrency by market capitalization, worth more than $68 billion."
BNB,BNB-USD,"Launched in July 2017, Binance is the biggest cryptocurrency exchange globally based on daily trading volume. Binance aims to bring cryptocurrency exchanges to the forefront of financial activity globally. The idea behind Binance’s name is to show this new paradigm in global finance — Binary Finance, or Binance.

Aside from being the largest cryptocurrency exchange globally, Binance has launched a whole ecosystem of functionalities for its users. The Binance network includes the Binance Chain, Binance Smart Chain, Binance Academy, Trust Wallet and Research projects, which all employ the powers of blockchain technology to bring new-age finance to the world. BNB is an integral part of the successful functioning of many of the Binance sub-projects."
USD Coin,USDC-USD,"USD Coin (USDC) is a digital currency that is fully backed by U.S. dollar assets. USDC is a tokenized U.S. dollar, with the value of one USDC coin pegged 1:1 to the value of one U.S. dollar. The value of USDC is designed to remain stable, making USDC a stablecoin.

Stablecoins are commonly backed by reserve assets like dollars or euros to achieve price stability. The price stability of USDC contrasts sharply with the notorious price fluctuations of other cryptocurrencies like Bitcoin and Ethereum."
Solana,SOL-USD,"Solana is a blockchain platform designed to host decentralized, scalable applications. Founded in 2017, Solana is an open-source project currently run by Solana Foundation based in Geneva, while the blockchain was built by San Francisco-based Solana Labs. Solana is much faster in terms of the number of transactions it can process and has significantly lower transaction fees compared to rival blockchains like Ethereum.

The cryptocurrency that runs on the Solana blockchain—also named Solana (SOLUSD) and with the ticker symbol SOL—has soared almost 12,000% so far in 2021, and with a market capitalization of over $66 billion, it is the fifth-largest cryptocurrency by this measure."
XRP,XRP-USD,"XRP is the native cryptocurrency of Ripple, a cryptocurrency payment system created by Ripple Labs Inc. XRP is its ""digital asset built for global payments,"" implying that Ripple plans to rival money transfers usually conducted by the banking system. XRP would allow users to send money at a very low cost, attracting the potential interest of retail customers and banks alike. A key value proposition of Ripple is its minuscule transaction costs while offering transaction finality of under five seconds."
Terra,LUNA-USD,"Terra is an open-source blockchain payment platform for algorithmic stablecoins, which are cryptocurrencies that track the price of currencies or other assets. The Terra blockchain enables users to spend, save, trade, or exchange Terra stablecoins instantly on it.

The Terra protocol creates stablecoins that consistently track the price of any fiat currency (a government-backed currency such as the U.S. dollar or euro). It consists of two main cryptocurrency tokens—Terra and Luna—which have the following features."
Cardano,ADA-USD,"Cardano is a third-generation, decentralized proof-of-stake (PoS) blockchain platform designed to be a more efficient alternative to proof-of-work (PoW) networks. Scalability, interoperability, and sustainability on PoW networks like Ethereum are limited by the infrastructure burden of growing costs, energy use, and slow transaction times.

Charles Hoskinson, the co-founder of the proof-of-work (PoW) blockchain Ethereum, understood the implications of these challenges to blockchain networks, and began developing Cardano and its primary cryptocurrency, ada, in 2015, launching the platform and the ada token in 2017.

The Cardano platform runs on the Ouroboros consensus protocol. Ouroboros, created by Cardano in its foundation phase, is the first PoS protocol that not only was proved to be secure, but also was the first to be informed by scholarly academic research. Each development phase, or era, in the Cardano roadmap is anchored by the research-based framework, incorporating peer-reviewed insights with evidence-based methods to make progress toward and achieve the milestones related to the future directions of the use applications of both the blockchain network and the ada token.

As of June 20, 2021, 71.59% of Cardano's cryptocurrency ASA, is staked in 2,626 active pools with a value of approximately $31.4 billion."
Avalanche,AVAX-USD,"Avalanche (AVAX) is a cryptocurrency and blockchain platform that rivals Ethereum. AVAX is the native token of the Avalanche blockchain, which—like Ethereum—uses smart contracts to support a variety of blockchain projects.

The Avalanche blockchain can provide near-instant transaction finality. AVAX is used to pay transaction processing fees and secure the Avalanche network, and acts as a basic unit of account among blockchains in the Avalanche network."
Dogecoin,DOGE-USD,"Dogecoin (DOGE) is a peer-to-peer, open-source cryptocurrency. It is considered an altcoin and an almost sarcastic meme coin. Launched in December 2013, Dogecoin has the image of a Shiba Inu dog as its logo.

While it was created seemingly as a joke, Dogecoin's blockchain still has merit. Its underlying technology is derived from Litecoin. Notable features of Dogecoin, which uses a scrypt algorithm, are its low price and unlimited supply."
TerraUSD,UST-USD,"Terra is an open-source blockchain payment platform for algorithmic stablecoins, which are cryptocurrencies that track the price of currencies or other assets. The Terra blockchain enables users to spend, save, trade, or exchange Terra stablecoins instantly on it.

The Terra protocol creates stablecoins that consistently track the price of any fiat currency (a government-backed currency such as the U.S. dollar or euro). It consists of two main cryptocurrency tokens—Terra and Luna—which have the following features."
Binance USD,BUSD-USD,"Binance Coin is the cryptocurrency issued by Binance exchange and trades with the BNB symbol. As of June 2021, Binance Exchange is the largest cryptocurrency exchange in the world, supporting more than 1.4 million transactions per second."
Polkadot,DOT-USD,"Polkadot is an open-source sharded multichain protocol that connects and secures a network of specialized blockchains, facilitating cross-chain transfer of any data or asset types, not just tokens, thereby allowing blockchains to be interoperable with each other. Polkadot was designed to provide a foundation for a decentralized internet of blockchains, also known as Web3."
